Wall time,Step,Value
1745805443.59992,1,0.0003146253584418446
1745805483.515902,2,0.00019451952539384365
1745805510.173337,3,5.330495701956484e-13
1745805543.006779,4,0.5937953591346741
1745805566.572875,5,4.2073391992580866e-10
1745805588.515866,6,5.735793365602149e-06
1745805608.022548,7,5.735793365602149e-06
1745805634.202368,8,4.2073391992580866e-10
1745805666.2591732,9,5.1916352106218255e-08
1745805697.024266,10,2.464893441356253e-06
1745805724.933669,11,1.9415522523047457e-09
1745805753.654025,12,0.0002938196121249348
1745805769.6578538,13,2.5027497940754984e-06
1745805788.153069,14,8.89783885948351e-15
1745805814.4192379,15,0.0003146253584418446
1745805840.0439072,16,0.4151405990123749
1745805867.261726,17,0.012258391827344894
1745805893.517194,18,1.46780200793728e-06
1745805910.275253,19,0.0005726430681534111
1745805925.524123,20,1.1332353241563786e-12
1745805951.34759,21,0.0003146253584418446
1745805976.97617,22,0.0005726430681534111
1745806010.564903,23,0.06456127762794495
1745806027.281436,24,6.77466596243903e-06
1745806042.983692,25,0.06717272102832794
1745806066.141582,26,1.1032754628104158e-05
1745806096.554396,27,3.3922447692508314e-15
1745806115.108951,28,0.06717272102832794
1745806134.032442,29,0.0017762684728950262
1745806159.434104,30,3.4730655329440197e-07
1745806174.6755998,31,2.464893441356253e-06
1745806198.235513,32,2.589768296120949e-15
1745806214.516869,33,4.2073391992580866e-10
1745806234.439631,34,1.1964572877332103e-05
1745806261.2230568,35,0.0007430048426613212
1745806285.889662,36,1.3223282711860573e-11
1745806316.3737888,37,0.009010357782244682
1745806343.554361,38,0.5629345178604126
1745806369.166471,39,1.4636512488119813e-13
1745806403.556778,40,0.00449193362146616
1745806425.0255911,41,0.0008448748849332333
1745806440.412076,42,1.9808531703802146e-07
1745806454.848494,43,0.07552704215049744
1745806469.8960361,44,0.1300027072429657
1745806493.8877451,45,0.0039614783599972725
1745806511.993257,46,0.0002938196121249348
1745806547.355273,47,0.3354635536670685
1745806580.2600682,48,0.0001269334024982527
1745806596.6826198,49,6.390093845842879e-16
1745806611.012352,50,0.0004696078831329942
1745806638.858459,51,1.279232453299528e-08
1745806655.830236,52,0.014242454431951046
1745806680.160178,53,1.4901415568147058e-07
1745806698.5178492,54,0.02092144638299942
1745806714.0501819,55,0.9654967784881592
1745806729.186284,56,1.0832720078866886e-17
1745806754.845654,57,0.0005726430681534111
1745806775.753248,58,0.017325913533568382
1745806795.698693,59,1.1964572877332103e-05
1745806815.239008,60,8.89783885948351e-15
1745806831.0205598,61,0.3612574338912964
1745806859.5227678,62,1.1332353241563786e-12
1745806876.4118688,63,0.2870209813117981
1745806902.40654,64,4.261165642560627e-08
1745806923.5456882,65,5.655432719353648e-12
1745806942.736021,66,7.992455721250735e-06
1745806959.4906728,67,4.178263282028638e-07
1745806976.433741,68,6.97695795679465e-05
1745806995.38357,69,4.2073391992580866e-10
1745807017.3699148,70,0.05958731845021248
1745807047.483142,71,0.00020779427723027766
1745807066.2354538,72,0.11736693978309631
1745807097.8035579,73,9.418256922799628e-06
1745807117.82719,74,7.992455721250735e-06
1745807138.580273,75,0.3612574338912964
1745807198.3414469,76,0.03604302182793617
1745807236.672867,77,1.6481197917528334e-07
1745807256.818248,78,5.735793365602149e-06
1745807290.871904,79,0.16416217386722565
1745807307.1861691,80,1.3662242170919825e-10
1745807322.647261,81,0.006575201638042927
1745807340.4876,82,2.626318860166066e-07
1745807357.676119,83,7.759484176614144e-15
1745807375.4981802,84,0.38749027252197266
1745807396.192665,85,5.735793365602149e-06
1745807412.653978,86,0.8189665675163269
1745807434.540004,87,2.626318860166066e-07
1745807451.4649,88,0.0007430048426613212
1745807468.133421,89,9.876229337384829e-14
1745807489.422818,90,0.06717272102832794
1745807505.768146,91,0.22978469729423523
1745807521.934984,92,0.0003146253584418446
1745807537.40941,93,0.0005726430681534111
1745807551.354534,94,4.8148818265758564e-11
1745807567.962414,95,6.880458869318318e-09
1745807585.64374,96,0.1300027072429657
1745807603.054113,97,6.281697295662525e-08
1745807619.798493,98,0.0003146253584418446
1745807640.770306,99,1.1332353241563786e-12
1745807662.634596,100,2.4500133804394864e-05
1745807682.9053109,101,0.028845984488725662
1745807702.814476,102,2.464893441356253e-06
1745807720.120317,103,0.7984200119972229
1745807735.3376231,104,0.2365484982728958
1745807750.474241,105,0.9654967784881592
