time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656288600,34718e,40.2437113099179,0.7533749667080966,216.17730201263964,232.63924143103907,3.2512000000000003,IBE2601 ,False,False,False,417.0,9022.08,9479.28,1656288599.614,1656288599.958
1656288610,34718e,40.23165428032309,0.7327756014737216,216.8984001966001,232.613693277957,2.92608,IBE2601 ,False,False,False,417.0,9052.56,9509.760000000002,1656288609.871,1656288609.925
1656288620,34718e,40.21980285644531,0.7125244140625,217.6195412198581,232.5883144412436,2.92608,IBE2601 ,False,False,False,417.0,9083.04,9540.240000000002,1656288619.902,1656288619.968
1656288630,34718e,40.20791263903602,0.6922635165127841,218.34072465794165,232.56310325314183,2.92608,IBE2601 ,False,False,False,417.0,9113.52,9570.72,1656288629.935,1656288629.992
1656288640,34718e,40.19632113181938,0.6725380637428977,218.34072465794165,232.56310325314183,4.22656,IBE2601 ,False,False,False,417.0,9144.0,9601.2,1656288639.642,1656288639.926
1656288650,34718e,40.18414306640625,0.65179443359375,218.34072465794165,232.56310325314183,4.55168,IBE2601 ,False,False,False,417.0,9189.72,9646.920000000002,1656288649.74,1656288649.807
1656288660,34718e,40.17228698730469,0.63165283203125,218.34072465794165,232.56310325314183,5.20192,IBE2601 ,False,False,False,417.0,9235.44,9700.26,1656288659.631,1656288659.864
1656288670,34718e,40.16061556541313,0.6117387251420454,218.34072465794165,232.56310325314183,5.20192,IBE2601 ,False,False,False,417.0,9288.78,9753.6,1656288669.442,1656288669.655
1656288680,34718e,40.14820861816406,0.5906982421875,217.6195412198581,232.5883144412436,5.20192,IBE2601 ,False,False,False,417.0,9342.12,9806.94,1656288679.841,1656288679.896
1656288690,34718e,40.13631529727225,0.5704151500355114,217.21114797954377,232.50587175821795,5.20192,IBE2601 ,False,False,False,417.0,9395.46,9860.28,1656288689.857,1656288689.898
1656288700,34718e,40.12445068359375,0.55023193359375,217.21114797954377,232.50587175821795,5.20192,IBE2601 ,False,False,False,417.0,9448.8,9913.62,1656288699.857,1656288699.894
1656288710,34718e,40.11277770996094,0.530517578125,216.4898690446103,232.53102383054343,4.8768,IBE2601 ,False,False,False,417.0,9494.52,9966.96,1656288709.659,1656288709.833
1656288720,34718e,40.10070283534163,0.5099903453480114,216.4898690446103,232.53102383054343,5.20192,IBE2601 ,False,False,False,417.0,9547.86,10020.3,1656288719.896,1656288719.918
