time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656316810,3571d3,37.6527099609375,-0.8998854616854715,116.30189689988649,264.41549772301306,0.32512,ARP41   ,False,False,False,5170.0,320.04,365.76,1656316809.852,1656316809.852
1656316810,3571d1,37.921417236328125,-0.8254939951794995,147.3143427815228,131.03534527714388,1.30048,ARP41   ,False,False,False,6716.0,3063.24,3253.74,1656316809.584,1656316809.852
1656316820,3571d3,37.65435791015625,-0.911865234375,109.90455243708595,293.4450981853946,0.32512,ARP41   ,False,False,False,2036.0,312.42,365.76,1656316819.538,1656316819.538
1656316820,3571d1,37.91230773925781,-0.8124623400099722,147.17954237862543,131.88301140087984,-1.30048,ARP41   ,False,False,False,4164.0,3070.86,3253.74,1656316819.95,1656316819.997
1656316830,3571d1,37.90357686705509,-0.800330120584249,146.72841145321672,132.5844885351871,0.97536,ARP41   ,False,False,False,2031.0,3070.86,3261.36,1656316829.915,1656316829.954
1656316830,44f668,37.90357686705509,-0.800330120584249,146.72841145321672,132.5844885351871,0.97536,ARP41   ,False,False,False,5432.0,2011.68,3261.36,1656316829.915,1656316829.823
1656316830,3571d3,37.661224365234375,-0.9208062354554158,105.1594508755526,326.7763735629128,-2.60096,ARP41   ,False,False,False,7363.0,289.56,342.9,1656316829.725,1656316829.954
1656316840,3571d3,37.66973876953125,-0.9248968895445272,107.6774427744649,351.48276989169307,-2.60096,ARP41   ,False,False,False,6347.0,289.56,342.9,1656316839.724,1656316839.724
1656316840,3571d1,37.89501125529661,-0.7886272927989353,146.35005048163285,132.72077397857328,-0.32512,ARP41   ,False,False,False,6716.0,3070.86,3261.36,1656316839.452,1656316839.724
1656316850,3571d3,37.679443359375,-0.9244878241356104,107.91681493228792,9.327614510667605,-0.65024,ARP41   ,False,False,False,6347.0,297.18,358.14,1656316849.447,1656316849.447
1656316850,3571d1,37.88557434082031,-0.7765230219414434,145.9253754249469,136.57131062586149,-0.32512,ARP41   ,False,False,False,7744.0,3055.6200000000003,3246.1200000000003,1656316849.707,1656316849.779
1656316860,3571d1,37.87541276317532,-0.7661172618036858,138.488668781445,143.00240023386343,-5.8521600000000005,ARP41   ,False,False,False,4265.0,3025.1400000000003,3215.6400000000003,1656316859.787,1656316859.862
1656316860,06a0a6,37.87541276317532,-0.7661172618036858,138.488668781445,143.00240023386343,-5.8521600000000005,ARP41   ,True,False,False,4265.0,76.2,3215.6400000000003,1656316859.787,1656316855.322
1656316860,3571d3,37.68914794921875,-0.9210984250332216,107.53356371309958,18.694988396803804,-0.97536,ARP41   ,False,False,False,7000.0,297.18,358.14,1656316859.777,1656316859.777
1656316870,3571d3,37.69753666247352,-0.9164627738620652,108.53915023326792,29.8459319496874,1.95072,ARP41   ,False,False,False,6366.0,297.18,350.52,1656316869.303,1656316869.43
1656316870,3571d1,37.865497136520126,-0.757459557574748,132.6996306883408,146.86439045128114,-23.73376,ARP41   ,False,False,False,4543.0,2872.74,3086.1,1656316869.781,1656316869.806
1656316880,3571d3,37.70530700683594,-0.9080667698636944,105.58265977170016,47.36950806425529,2.27584,ARP41   ,False,False,False,352.0,312.42,373.38,1656316879.972,1656316879.972
1656316880,3571d1,37.85502288301112,-0.7495780613111265,137.3170438098699,150.36161631184865,-34.1376,ARP41   ,False,False,False,5321.0,2567.94,2758.44,1656316879.849,1656316879.972
1656316890,3571d1,37.84343137579449,-0.742472773012878,146.9906141311854,156.48544331706344,-38.68928,ARP41   ,False,False,False,3262.0,2194.56,2331.72,1656316889.77,1656316889.877
1656316890,3571d3,37.71075749801377,-0.898908532184123,100.5905759490256,56.47247325646148,1.30048,ARP41   ,False,False,False,6075.0,327.66,388.62,1656316889.698,1656316889.752
